siteid,fluxnetid,keyid,sitename,countryid,land_unit,status,latitude,longitude,year_began,network1,network2,network3,koeppen_climate,gtopo30_elevation,igbp_land_use,umd_land_cover,lai_fpar,npp_land_cover,plant_functional_type,network1_id
9,AR-Lac,ar.laciguena.01,La Ciguena Santa Fe,Argentina,South America,Active,-29.264,-61.028,2004,Unaffiliated,(null),(null),Cfa - Warm temperate fully humid with hot summer,53,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,19
12,AT-Lan,at.langenfeld.01,Langenfeld,Austria,Europe,Inactive,47.061221,10.963454,2005,European Unaffiliated,(null),(null),ET - Polar tundra,1396,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
13,AT-Leu,at.leutasch.01,Leutasch,Austria,Europe,Inactive,47.378036,11.16278,2005,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,1133,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
14,AT-Neu,at.neustift.01,Neustift/Stubai Valley,Austria,Europe,Active,47.1166687,11.31750011,2002,CarboExtreme (EU-FP7),Carbomont (EU-FP5),Carbomont (EU-FP5),Dfc - Snow fully humid cool summer,1095,Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,35
15,AT-Sch,at.schlitters.01,Schlitters,Austria,Europe,Inactive,47.387291,11.247935,2005,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,586,Cropland/Natural Vegetation Mosaic,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
17,AU-Cas,au.cairns_sugarcane.01,Burdekin Delta,Australia,Australia/Oceania,Active,-19.56666667,147.4,2000,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,5,Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,18
29,AU-Ctr,au.daintree.01,Cape Tribulation,Australia,Australia/Oceania,Active,-16.10328,145.446858,2012,OzFlux,(null),(null),Am - Equatorial monsoon,66,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,18
30,AU-DaP,au.daly_cleared.01,Daly River Pasture,Australia,Australia/Oceania,Active,-14.0633,131.3181,2008,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,102,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,18
31,AU-DaS,au.daly_savanna.01,Daly River Savanna,Australia,Australia/Oceania,Active,-14.159283,131.388,2007,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,98,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,18
34,AU-Fac,au.falls_creek.01,Falls Creek,Australia,Australia/Oceania,Inactive,-36.86686667,147.3457667,2006,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,1473,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,18
