sitename,lon,lat,elv,year_start,year_end,classid,c4,whc,koeppen_code,igbp_land_use,plant_functional_type
AR-SLu,-66.4598,-33.4648,499,2009,2011,MF,FALSE,268.4240112,Bwk,NA,NA
AR-Vir,-56.1886,-28.2395,97,2009,2012,ENF,FALSE,302.4275513,Csb,NA,NA
AT-Neu,11.3175,47.1167,970,2002,2012,GRA,FALSE,270.0856323,Dfc,Mixed Forests,Evergreen Broadleaf Trees
AU-Ade,131.1178,-13.0769,81,2007,2009,WSA,FALSE,269.2186584,Aw,Savannas,Grass
AU-ASM,133.249,-22.283,606,2010,2013,ENF,FALSE,214.5842743,BSh,Open Shrublands,Shrub
AU-Cpr,140.5891,-34.0021,57,2010,2014,SAV,FALSE,217.3112488,BSk,Closed Shrublands,Shrub
AU-Cum,150.7225,-33.6133,28,2012,2014,EBF,FALSE,310.8674011,Cfa,Woody Savannas,Evergreen Broadleaf Trees
AU-DaP,131.3181,-14.0633,102,2007,2013,GRA,FALSE,294.6303406,Aw,Savannas,Grass
AU-DaS,131.3881,-14.1593,98,2008,2014,SAV,FALSE,249.2509155,Aw,Savannas,Grass
AU-Dry,132.3706,-15.2588,172,2008,2014,SAV,FALSE,239.1561279,Aw,Savannas,Grass
AU-Emr,148.4746,-23.8587,183,2011,2013,GRA,FALSE,212.9327698,Bwk,NA,NA
AU-Fog,131.3072,-12.5452,25,2006,2008,WET,FALSE,321.4286194,Aw,Savannas,Grass
AU-Gin,115.7138,-31.3764,51,2011,2014,WSA,FALSE,194.4478455,Csa,Woody Savannas,Shrub
AU-GWW,120.6541,-30.1913,452,2013,2014,SAV,FALSE,183.3797455,Bwk,NA,NA
AU-How,131.1523,-12.4943,41,2001,2014,WSA,TRUE,307.5285645,Aw,Savannas,Grass
AU-Lox,140.6551,-34.4704,48,2008,2009,DBF,FALSE,248.4138031,Bsh,NA,NA
AU-RDF,132.4776,-14.5636,181,2011,2013,WSA,FALSE,290.0407715,Bwh,NA,NA
AU-Rig,145.5759,-36.6499,153,2011,2014,GRA,FALSE,251.4349823,Cfb,Croplands,Cereal crop
AU-Rob,145.6301,-17.1175,772,2014,2014,EBF,FALSE,265.1673584,Csb,NA,NA
AU-Stp,133.3502,-17.1507,227,2008,2014,GRA,FALSE,283.4158936,BSh,Grasslands,Grass
AU-TTE,133.64,-22.287,552,2012,2013,OSH,FALSE,217.1057587,BWh,Open Shrublands,Shrub
AU-Tum,148.1517,-35.6566,932,2001,2014,EBF,FALSE,248.4827576,Cfb,Evergreen Broadleaf Forest,Evergreen Broadleaf Trees
AU-Wac,145.1878,-37.4259,562,2005,2008,EBF,FALSE,163.752243,Cfb,Evergreen Broadleaf Forest,Evergreen Broadleaf Trees
AU-Whr,145.0294,-36.6732,152,2011,2014,EBF,FALSE,271.4973755,Cfb,Woody Savannas,Shrub
AU-Wom,144.0944,-37.4222,705,2010,2012,EBF,FALSE,189.5709991,Cfb,Evergreen Broadleaf Forest,Evergreen Broadleaf Trees
AU-Ync,146.2907,-34.9893,125,2012,2014,GRA,FALSE,199.1587524,BSk,Croplands,Cereal crop
BE-Bra,4.5206,51.3092,16,1996,2014,MF,FALSE,85.68379974,Cfb,Mixed Forests,Deciduous Broadleaf Trees
BE-Lon,4.7461,50.5516,167,2004,2014,CRO,FALSE,383.6510925,Cfb,Croplands,Cereal crop
BE-Vie,5.9981,50.3051,493,1996,2014,MF,FALSE,312.7651978,Cfb,Mixed Forests,Deciduous Broadleaf Trees
BR-Sa3,-54.9714,-3.018,100,2000,2004,EBF,FALSE,207.0645142,Am,Evergreen Broadleaf Forest,Evergreen Broadleaf Trees
CA-Man,-98.4808,55.8796,259,1994,2008,ENF,FALSE,52.677845,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-NS1,-98.4839,55.8792,260,2001,2005,ENF,FALSE,50.25987625,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-NS2,-98.5247,55.9058,260,2001,2005,ENF,FALSE,59.02733231,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-NS3,-98.3822,55.9117,260,2001,2005,ENF,FALSE,115.962883,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-NS4,-98.3822,55.9117,260,2002,2005,ENF,FALSE,115.962883,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-NS5,-98.485,55.8631,260,2001,2005,ENF,FALSE,32.74040222,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-NS6,-98.9644,55.9167,244,2001,2005,OSH,FALSE,28.60806847,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-NS7,-99.9483,56.6358,297,2002,2005,OSH,FALSE,90.78813171,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-Qfo,-74.3421,49.6925,382,2003,2010,ENF,FALSE,176.8255615,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-SF1,-105.8176,54.485,536,2003,2006,ENF,FALSE,265.995575,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CA-SF2,-105.8775,54.2539,520,2001,2005,ENF,FALSE,286.6593018,Dfc,Mixed Forests,Evergreen Needleleaf Trees
CA-SF3,-106.0053,54.0916,540,2001,2006,OSH,FALSE,272.6809082,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CH-Cha,8.4104,47.2102,393,2005,2014,GRA,FALSE,343.0929565,Cfb,Cropland/Natural Vegetation Mosaic,Grass
CH-Dav,9.8559,46.8153,1639,1997,2014,ENF,FALSE,171.5249176,ET,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CH-Fru,8.5378,47.1158,982,2005,2014,GRA,FALSE,285.3380432,Cfb,Cropland/Natural Vegetation Mosaic,Grass
CH-Lae,8.365,47.4781,689,2004,2014,MF,FALSE,292.4555054,Cfb,Mixed Forests,Deciduous Broadleaf Trees
CH-Oe1,7.7319,47.2858,450,2002,2008,GRA,FALSE,316.348877,Cfb,Croplands,Cereal crop
CH-Oe2,7.7343,47.2863,452,2004,2014,CRO,FALSE,319.9437561,Cfb,Croplands,Cereal crop
CN-Cha,128.0958,42.4025,754,2003,2005,MF,FALSE,320.6448364,Dwb,Mixed Forests,Deciduous Broadleaf Trees
CN-Cng,123.5092,44.5934,140,2007,2010,GRA,FALSE,244.4484558,Bsh,NA,NA
CN-Dan,91.0664,30.4978,4751,2004,2005,GRA,FALSE,229.4303589,ET,Grasslands,Grass
CN-Din,112.5361,23.1733,261,2003,2005,EBF,FALSE,274.2583313,Cfa,Evergreen Broadleaf Forest,Evergreen Broadleaf Trees
CN-Du2,116.2836,42.0467,1331,2006,2008,GRA,FALSE,327.0993042,Dwb,Grasslands,Grass
CN-Ha2,101.3269,37.6086,3217,2003,2005,WET,FALSE,308.4908142,ET,Grasslands,Grass
CN-HaM,101.18,37.37,3932,2002,2004,GRA,FALSE,222.6631012,NA,NA,NA
CN-Qia,115.0581,26.7414,64,2003,2005,ENF,FALSE,303.6759644,Cfa,Woody Savannas,Shrub
CN-Sw2,111.8971,41.7902,1439,2010,2012,GRA,FALSE,313.570282,Bsh,NA,NA
CZ-BK1,18.5369,49.5021,875,2004,2008,ENF,FALSE,260.9567566,Dfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
CZ-BK2,18.5429,49.4944,855,2004,2006,GRA,FALSE,260.1376953,Dfb,Mixed Forests,Evergreen Needleleaf Trees
CZ-wet,14.7704,49.0247,426,2006,2014,WET,FALSE,321.1204529,Cfb,Croplands,Cereal crop
DE-Akm,13.6834,53.8662,-1,2009,2014,WET,FALSE,268.3578796,Cfb,Urban and Built-Up,Urban and built up
DE-Geb,10.9143,51.1001,161.5,2001,2014,CRO,FALSE,332.9700928,Cfb,Croplands,Cereal crop
DE-Gri,13.5125,50.9495,385,2004,2014,GRA,FALSE,338.5259399,Cfb,Mixed Forests,Deciduous Broadleaf Trees
DE-Hai,10.453,51.0792,430,2000,2012,DBF,FALSE,282.6673584,Cfb,Mixed Forests,Deciduous Broadleaf Trees
DE-Kli,13.5225,50.8929,478,2004,2014,CRO,TRUE,326.19104,Cfb,Croplands,Cereal crop
