mysitename,lon,lat,elv,year_start,year_end,years_data,classid,elv_watch,elv_diff,whc
AR-SLu,-66.4598,-33.4648,887,2009,2011,3,MF,887,0,268.4240112
AR-Vir,-56.1886,-28.2395,74,2009,2012,4,ENF,74,0,302.4275513
AT-Neu,11.3175,47.1167,970,2002,2012,11,GRA,1653,683,270.0856323
AU-Ade,131.1178,-13.0769,188,2007,2009,3,WSA,188,0,269.2186584
AU-ASM,133.249,-22.283,615,2010,2013,4,ENF,615,0,214.5842743
AU-Cpr,140.5891,-34.0021,51,2010,2014,5,SAV,51,0,217.3112488
AU-Cum,150.7225,-33.6133,107,2012,2014,3,EBF,107,0,310.8674011
AU-DaP,131.3181,-14.0633,160,2007,2013,7,GRA,160,0,294.6303406
AU-DaS,131.3881,-14.1593,160,2008,2014,7,SAV,160,0,249.2509155
AU-Dry,132.3706,-15.2588,204,2008,2014,7,SAV,204,0,239.1561279
AU-Emr,148.4746,-23.8587,220,2011,2013,3,GRA,220,0,212.9327698
AU-Fog,131.3072,-12.5452,90,2006,2008,3,WET,90,0,321.4286194
AU-Gin,115.7138,-31.3764,127,2011,2014,4,WSA,127,0,194.4478455
AU-GWW,120.6541,-30.1913,511,2013,2014,2,SAV,511,0,183.3797455
AU-How,131.1523,-12.4943,6,2001,2014,14,WSA,6,0,307.5285645
AU-Lox,140.6551,-34.4704,51,2008,2009,2,DBF,51,0,248.4138031
AU-RDF,132.4776,-14.5636,187,2011,2013,3,WSA,187,0,290.0407715
AU-Rig,145.5759,-36.6499,278,2011,2014,4,GRA,278,0,251.4349823
AU-Rob,145.6301,-17.1175,492,2014,2014,1,EBF,492,0,265.1673584
AU-Stp,133.3502,-17.1507,240,2008,2014,7,GRA,240,0,283.4158936
AU-TTE,133.64,-22.287,609,2012,2013,2,OSH,609,0,217.1057587
AU-Tum,148.1517,-35.6566,817,2001,2014,14,EBF,817,0,248.4827576
AU-Wac,145.1878,-37.4259,309,2005,2008,4,EBF,309,0,163.752243
AU-Whr,145.0294,-36.6732,164,2011,2014,4,EBF,164,0,271.4973755
AU-Wom,144.0944,-37.4222,705,2010,2012,3,EBF,437,-268,189.5709991
AU-Ync,146.2907,-34.9893,133,2012,2014,3,GRA,133,0,199.1587524
BE-Bra,4.5206,51.3092,16,1996,2014,19,MF,14,-2,85.68379974
BE-Lon,4.7461,50.5516,167,2004,2014,11,CRO,93,-74,383.6510925
BE-Vie,5.9981,50.3051,493,1996,2014,19,MF,415,-78,312.7651978
BR-Sa3,-54.9714,-3.018,100,2000,2004,5,EBF,78,-22,207.0645142
CA-Man,-98.4808,55.8796,259,1994,2008,15,ENF,249,-10,52.677845
CA-NS1,-98.4839,55.8792,260,2001,2005,5,ENF,249,-11,50.25987625
CA-NS2,-98.5247,55.9058,260,2001,2005,5,ENF,254,-6,59.02733231
CA-NS3,-98.3822,55.9117,260,2001,2005,5,ENF,249,-11,115.962883
CA-NS4,-98.3822,55.9117,260,2002,2005,4,ENF,249,-11,115.962883
CA-NS5,-98.485,55.8631,260,2001,2005,5,ENF,249,-11,32.74040222
CA-NS6,-98.9644,55.9167,244,2001,2005,5,OSH,254,10,28.60806847
CA-NS7,-99.9483,56.6358,297,2002,2005,4,OSH,279,-18,90.78813171
CA-Qfo,-74.3421,49.6925,382,2003,2010,8,ENF,402,20,176.8255615
CA-SF1,-105.8176,54.485,536,2003,2006,4,ENF,525,-11,265.995575
CA-SF2,-105.8775,54.2539,520,2001,2005,5,ENF,525,5,286.6593018
CA-SF3,-106.0053,54.0916,540,2001,2006,6,OSH,576,36,272.6809082
CH-Cha,8.4104,47.2102,393,2005,2014,10,GRA,540,147,343.0929565
CH-Dav,9.8559,46.8153,1639,1997,2014,18,ENF,1930,291,171.5249176
CH-Fru,8.5378,47.1158,982,2005,2014,10,GRA,741,-241,285.3380432
CH-Lae,8.365,47.4781,689,2004,2014,11,MF,540,-149,292.4555054
CH-Oe1,7.7319,47.2858,450,2002,2008,7,GRA,610,160,316.348877
CH-Oe2,7.7343,47.2863,452,2004,2014,11,CRO,610,158,319.9437561
CN-Cha,128.0958,42.4025,1057,2003,2005,3,MF,1057,0,320.6448364
CN-Cng,123.5092,44.5934,130,2007,2010,4,GRA,130,0,244.4484558
CN-Dan,91.0664,30.4978,4764,2004,2005,2,GRA,4764,0,229.4303589
CN-Din,112.5361,23.1733,70,2003,2005,3,EBF,70,0,274.2583313
CN-Du2,116.2836,42.0467,1353,2006,2008,3,GRA,1353,0,327.0993042
CN-Ha2,101.3269,37.6086,3563,2003,2005,3,WET,3563,0,308.4908142
CN-HaM,101.18,37.37,3516,2002,2004,3,GRA,3516,0,222.6631012
CN-Qia,115.0581,26.7414,238,2003,2005,3,ENF,238,0,303.6759644
CN-Sw2,111.8971,41.7902,1469,2010,2012,3,GRA,1469,0,313.570282
CZ-BK1,18.5369,49.5021,875,2004,2008,5,ENF,597,-278,260.9567566
CZ-BK2,18.5429,49.4944,855,2004,2006,3,GRA,597,-258,260.1376953
CZ-wet,14.7704,49.0247,426,2006,2014,9,WET,477,51,321.1204529
DE-Akm,13.6834,53.8662,-1,2009,2014,6,WET,22,23,268.3578796
DE-Geb,10.9143,51.1001,162,2001,2014,14,CRO,261,100,332.9700928
DE-Gri,13.5125,50.9495,385,2004,2014,11,GRA,430,45,338.5259399
DE-Hai,10.453,51.0792,430,2000,2012,13,DBF,330,-100,282.6673584
DE-Kli,13.5225,50.8929,478,2004,2014,11,CRO,430,-48,326.19104
DE-Lkb,13.3047,49.0996,1308,2009,2013,5,ENF,677,-631,189.9990387
DE-Obe,13.7196,50.7836,735,2008,2014,7,ENF,430,-305,246.8653564
DE-RuR,6.3041,50.6219,515,2011,2014,4,GRA,278,-237,327.4595032
DE-RuS,6.4472,50.8659,103,2011,2014,4,CRO,278,175,367.7955322
DE-Seh,6.4497,50.8706,103,2007,2010,4,CRO,278,175,367.7955322
DE-SfN,11.3275,47.8064,590,2012,2014,3,WET,777,187,244.3797913
DE-Spw,14.0337,51.8923,63,2010,2014,5,WET,81,18,194.3483734
DE-Tha,13.5669,50.9636,380,1996,2014,19,ENF,430,50,295.663147
DK-Fou,9.5872,56.4842,51,2005,2005,1,CRO,51,0,179.309494
DK-NuF,-51.3861,64.1308,50,2008,2014,7,WET,414,364,102.6077728
DK-Sor,11.6446,55.4859,40,1996,2014,19,DBF,26,-14,226.4378052
DK-ZaF,-20.5545,74.4814,38,2008,2011,4,WET,568,530,227.7749176
DK-ZaH,-20.5503,74.4732,38,2000,2014,15,GRA,568,530,241.8818512
ES-LgS,-2.9658,37.0979,2267,2007,2009,3,OSH,1267,-1000,272.3067627
ES-Ln2,-3.4758,36.9695,2249,2009,2009,1,OSH,810,-1439,246.1729889
FI-Hyy,24.295,61.8475,181,1996,2014,19,ENF,138,-43,255.05896
FI-Jok,23.5135,60.8986,109,2000,2003,4,CRO,124,15,302.3960266
